task_id,blind_alias,action_family,treatment,replicate,package_path,prompt_path,prompt_sha256,task_type,model_version,duration,ratio,video_resolution,reference_strategy,active_generation_reference_count,estimated_credit,no_submit,submit_authorized,query_authorized,download_authorized,retry_authorized,resubmit_authorized,batch_authorized,planned_output_name,production_approved,fixed_task_completion,final_master,locked
CAL002-B05-PUSH-CONTROL-R01,PUSH_PAIR_01_A,push_reaction,control,R01,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/packages/CAL002-B05-PUSH-CONTROL-R01_execution_package.json,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/prompts/PUSH_CONTROL_prompt.txt,ace62979b13a2f7994b36673c51ae6bb3f6a6398a71725d2434333445719a604,text2video,seedance2.0_vip,5,16:9,720p,text_only_no_active_generation_reference,0,70,true,false,false,false,false,false,false,CAL002-B05-PUSH-CONTROL-R01_result.mp4,false,false,false,false
CAL002-B05-PUSH-CONTROL-R02,PUSH_PAIR_02_B,push_reaction,control,R02,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/packages/CAL002-B05-PUSH-CONTROL-R02_execution_package.json,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/prompts/PUSH_CONTROL_prompt.txt,ace62979b13a2f7994b36673c51ae6bb3f6a6398a71725d2434333445719a604,text2video,seedance2.0_vip,5,16:9,720p,text_only_no_active_generation_reference,0,70,true,false,false,false,false,false,false,CAL002-B05-PUSH-CONTROL-R02_result.mp4,false,false,false,false
CAL002-B05-PUSH-CANDIDATE-R01,PUSH_PAIR_01_B,push_reaction,candidate,R01,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/packages/CAL002-B05-PUSH-CANDIDATE-R01_execution_package.json,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/prompts/PUSH_CANDIDATE_prompt.txt,e44db0e244923fd3abe701f4118e23687e47fb064cba7aadd6396cfafe963c86,text2video,seedance2.0_vip,5,16:9,720p,text_only_no_active_generation_reference,0,70,true,false,false,false,false,false,false,CAL002-B05-PUSH-CANDIDATE-R01_result.mp4,false,false,false,false
CAL002-B05-PUSH-CANDIDATE-R02,PUSH_PAIR_02_A,push_reaction,candidate,R02,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/packages/CAL002-B05-PUSH-CANDIDATE-R02_execution_package.json,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/prompts/PUSH_CANDIDATE_prompt.txt,e44db0e244923fd3abe701f4118e23687e47fb064cba7aadd6396cfafe963c86,text2video,seedance2.0_vip,5,16:9,720p,text_only_no_active_generation_reference,0,70,true,false,false,false,false,false,false,CAL002-B05-PUSH-CANDIDATE-R02_result.mp4,false,false,false,false
CAL002-B05-IMPACT-CONTROL-R01,IMPACT_PAIR_01_B,brief_impact_recoil,control,R01,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/packages/CAL002-B05-IMPACT-CONTROL-R01_execution_package.json,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/prompts/IMPACT_CONTROL_prompt.txt,dfff87157e2071794c0e2150ded60c68f8787d06117986238f39be41fd76a14b,text2video,seedance2.0_vip,5,16:9,720p,text_only_no_active_generation_reference,0,70,true,false,false,false,false,false,false,CAL002-B05-IMPACT-CONTROL-R01_result.mp4,false,false,false,false
CAL002-B05-IMPACT-CONTROL-R02,IMPACT_PAIR_02_A,brief_impact_recoil,control,R02,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/packages/CAL002-B05-IMPACT-CONTROL-R02_execution_package.json,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/prompts/IMPACT_CONTROL_prompt.txt,dfff87157e2071794c0e2150ded60c68f8787d06117986238f39be41fd76a14b,text2video,seedance2.0_vip,5,16:9,720p,text_only_no_active_generation_reference,0,70,true,false,false,false,false,false,false,CAL002-B05-IMPACT-CONTROL-R02_result.mp4,false,false,false,false
CAL002-B05-IMPACT-CANDIDATE-R01,IMPACT_PAIR_01_A,brief_impact_recoil,candidate,R01,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/packages/CAL002-B05-IMPACT-CANDIDATE-R01_execution_package.json,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/prompts/IMPACT_CANDIDATE_prompt.txt,e14e063895dad06f1c067cc699f93fb04cd3368fbcc8c96a3000bc3473418198,text2video,seedance2.0_vip,5,16:9,720p,text_only_no_active_generation_reference,0,70,true,false,false,false,false,false,false,CAL002-B05-IMPACT-CANDIDATE-R01_result.mp4,false,false,false,false
CAL002-B05-IMPACT-CANDIDATE-R02,IMPACT_PAIR_02_B,brief_impact_recoil,candidate,R02,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/packages/CAL002-B05-IMPACT-CANDIDATE-R02_execution_package.json,experiments/CAL-002/ACTION_CALIBRATION_V1/BATCH05_EXECUTION/prompts/IMPACT_CANDIDATE_prompt.txt,e14e063895dad06f1c067cc699f93fb04cd3368fbcc8c96a3000bc3473418198,text2video,seedance2.0_vip,5,16:9,720p,text_only_no_active_generation_reference,0,70,true,false,false,false,false,false,false,CAL002-B05-IMPACT-CANDIDATE-R02_result.mp4,false,false,false,false
